%value%' appears to be a DNS hostname but cannot extract TLD part,"%value%' parece ser un nombre de host DNS, pero no se puede extraer la parte TLD "
%value%' appears to be a DNS hostname but cannot match TLD against known list,%value%' parece ser un nombre de host DNS pero no coincide con la lista TLD conocida 
%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%',%value%' parece ser un nombre de host DNS pero no coincide con el esquema de nombre de host para TLD '%tld%'
%value%' appears to be a DNS hostname but contains a dash in an invalid position,"%value%' parece ser un nombre de host DNS, pero contiene un guión en una posición inválida"
%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded,"%value%' parece ser un nombre de host DNS, pero la notación punycode proporcionada no puede ser decodificada"
%value%' appears to be a local network name but local network names are not allowed,"%value%' parece ser un nombre de red local, pero los nombres de redes locales no están permitidos"
"%value%' appears to be an IP address, but IP addresses are not allowed","%value%' parece ser una dirección IP, pero las direcciones IP no están permitidas"
%value%' does not appear to be a valid local network name,%value%' does not appear to be a valid local network name
* Required Fields,* Campo Obligatorio
ALL GROUPS,TODOS LOS GRUPOS
Account Dashboard,Resumen de Cuenta
Account Information,Información de Cuenta
Account Sharing Options,Opciones de Compartir Cuenta
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Es necesario confirmar la cuenta. Por favor checa tu correo para un link de confirmación. Para reenviar el link, <a href=""%s"">haz click aqui</a>."
Action,Acción
Add New Address,Agregar Dirección
Add New Customer,Agregar Cliente
Add New Customer Group,Agregar Grupo de Clientes
Added From,Agregado Desde
Additional Address Entries,Entradas adicionales de dirección
Address,Dirección
Address Book,Libreta de Direcciones
Address Books,Libretas de direcciones
Address Information,Información de Dirección
Address Templates,Plantillas de Dirección
Addresses,Direcciones
Admin,Admin
All,Todo
All Store Views,Todas las Vistas de Tienda
All countries,Todos los países
Always optional.,Opcional siempre.
Amount,Monto
An error occurred while deleting the address.,Ocurrió un error al borrar la dirección.
An error occurred while retrieving the option value: %s.,Ocurrió un error al obtener el valor de opción: %s.
"An error occurred while saving the collection, aborting. Error: %s","Ocurrió un error al guardar la colección, abortando. Error: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","ID de Opción inválida especificada para %s (%s), saltando registro."
Approved,Aprobado
Are you sure that you want to remove this item?,¿Estas seguro que quieres eliminar este artículo?
Are you sure you want to cancel adding of this address?,¿Estas seguro que quieres cancelar agregar esta dirección?
Are you sure you want to delete this address?,¿Estas seguro que quieres borrar esta dirección?
Are you sure?,¿Estas seguro?
Array of Entity collections is expected.,Se espera una matríz de grupos de entidades.
Assign a Customer Group,Asignar un grupo de clientes
Average Sale,Venta Promedio
Back,Volver
Back - link to the previously viewed page,Volver - enlace a la página que estabas viendo
Back to Login,Volver para iniciar sesión
Bad request.,Solicitud incorrecta.
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Basadome en el ID VAT, el cliente podría pertenecer al Grupo de Clientes %s."
Bill to Name,Cobrar a nombre de
Bought From,Comprado de
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta podrás hacer tu compra de manera más rápida, así como consultar el estatus de tus pedidos entrando a tu cuenta."
CSV,CSV
Cancel,Cancelar
Cannot save a new password.,No se puede guardar una nueva contraseña.
Cannot save address.,No se puede guardar la dirección.
Cannot save the customer.,No se puede guardar el cliente.
Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.,Las cuentas de clientes no se pueden compartir de manera global debido a que algunas están registradas con el mismo correo electrónico en varios sitios web y no se pueden combinar.
Change Account Password,Cambiar Contraseña de Cuenta 
Change Billing Address,Cambiar dirección de facturación.
Change Password,Cambiar la contraseña
Change Shipping Address,Cambiar la dirección de envío
City,Ciudad
Company,Compañía
Config,Configuración
Configure,Configurar
Confirm New Password,Confirmar nueva contraseña
Confirm Password,Confirmar contraseña
Confirmation Link Email,Confirmación de Enlace de Correo Electrónico
Confirmed,Confirmado
Contact Information,Información de contacto
Continue Shopping,Seguir comprando
Country,País
Create,Crear 
Create New Account Options,Opciones para Crear una Nueva Cuenta 
Create New Customer Account,Crear una nueva cuenta de cliente
Create Order,Crear Pedido
Create an Account,Crear Cuenta
Create customer,Crear Cliente
Create customer address,Crear dirección del cliente
Current Admin Password,Contraseña Actual de Administración
Current Password,Contraseña Actual
Customer,Cliente
Customer API,API de Cliente
Customer Account Edit Form,Formulario para Editar Cuenta de Cliente 
Customer Account Login Form,Formulario de Inicio de Sesión con Cuenta de Cliente
Customer Account Logout Success,La cuenta del cliente cerró su sesión de manera correcta. 
Customer Account Registration Form,Formulario de Registro para Cuenta de Cliente
Customer Addresses,Direcciones de los clientes
Customer Configuration,Configuración de cliente
Customer Forgot Password Form,Formulario para Olvido de Contraseña del Cliente
Customer Group,Grupo de Clientes
Customer Groups,Grupos de clientes
Customer Information,Informacion de cliente
Customer Login,Inicio de Sesión para cliente
Customer My Account (All Pages),Cliente Mi Cuenta (Todas las páginas)
Customer My Account Address Book,"Libreta de direcciones en ""Mi Cuenta"" de Cliente"
Customer My Account Address Edit Form,"Formulario de Edición de Direcciones en ""Mi cuenta"" de Cliente"
Customer My Account Dashboard,Panel de Administración para Mi cuenta de cliente
Customer Since,Cliete desde
Customer View,Vista de Cliente
Customer collection expected.,Se espera grupo de cliente. 
Customer email is required,Es necesario el correo electrónico del cliente
Customer website ID must be specified when using the website scope,El ID de la página web del cliente debe especificarse cuando se usa el alcance de página web
"Customer will stay on the current page if ""No"" is selected.","Los clientes van permanecer en la página actual si seleccionaste ""NO""."
Customers,Clientes
Customers Only,Sólo Clientes
Customers Section,Sección de Clientes
DD,DD
Date,Fecha
Date Added,Fecha Añadida
Date of Birth,Fecha de Nacimiento
Day,Día
Days in Wishlist,Días en la Lista de Deseos
Default Addresses,Direcciones predeterminadas
Default Billing Address,Direccion de facturación predeterminada.
Default Email Domain,Dominio predeterminado de correo electrónico.
Default Group,Grupo predeterminado.
Default Shipping Address,Dirección de entrega predeterminada
Default Value for Disable Automatic Group Changes Based on VAT ID,Valor predeterminado para deshabilitar automáticamente cambios en grupos basado en ID VAT 
Default Welcome Email,Correo Electrónico de bienvenido predeterminado.
Delete,Borrar
Delete Address,Borrar Dirección
Delete Customer,Borrar Cliente
Delete Customer Group,Eliminar grupo de cliente.
Delete customer,Eliminar cliente
Delete customer address,Eliminar dirección del cliente
Deleted Stores,Tiendas eliminadas
Details,Detalles
Disabled,Deshabilitado
Edit,Editar
Edit Account Info,Editar Información de la cuenta
Edit Account Information,Editar información de la cuenta
Edit Address,Editar dirección
Edit Address Entry,Editar Dirección ingresada
"Edit Customer Group ""%s""","Editar Grupo de Clientes ""%s"""
Edit Customer Groups,Editar Grupo de Clientes
Edit Customer's Address,Editar dirección del Cliente
Edit Group,Editar Grupo
Edit Newsletters,Editar Boletines
Email,Correo Electrónico
Email Address,Dirección de correo electrónico
Email Sender,Remitente de correo electrónico.
Email:,Correo Electrónico:
Enable Automatic Assignment to Customer Group,Activar la asignación automática de Grupo de Clientes
Entity collection is expected.,Se espera el conjunto de entidades.
Excel XML,Excel XML
Failed to confirm customer account.,No se ha podido confirmar la cuenta de cliente.
Fax,Fax
First Name,Primer Nombre
Forgot Email Template,Plantilla de olvido de contraseña
Forgot Password,Olvido de contraseña
Forgot Your Password,Olvidaste tu contraseña
Forgot Your Password?,¿Olvidaste tu contraseña?
Forgot and Remind Email Sender,Olvidar y recordar correo electrónico del remitente
Form Fields Before,Campos del formulario primero
From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.,"Desde tu panel ""Mi Cuenta"" puedes ver un resumen de la activida reciente de tu cuenta y también actualizar tu información. Selecciona un enlace para ver o editar."
Gender,Sexo
Gender is required.,Sexo es un campo obligatorio.
General Subscription,Suscripción general
Generate Human-Friendly Customer ID,Generar un ID de cliente fácil de recordar
Global,Global
Group,Grupo
Group Information,Información del Grupo
Group Name,Nombre del grupo
Group for Invalid VAT ID,Grupo para ID de IVA inválido
Group for Valid VAT ID - Domestic,Grupo para ID de IVA válido - Doméstico
Group for Valid VAT ID - Intra-Union,Groupo para ID de IVA válido - Intra-Union
Guest,Invitado
HTML,HTML
"Hello, %s!","Hola, %s!"
ID,ID
IP Address,IP Dirección
"If you believe this is an error, please contact us at %s","Si te parece que es un error, por favor contáctanos en %s"
"If you have an account with us, please log in.","Si ya tienes cuenta, por favor inicia sesión."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","La opción de atributo especificada no es válida para el atributo %s (%s), el registro será omitido."
"Invalid attribute set specified, skipping the record.","Conjunto de atributos especificado inválido, registro omitido."
Invalid billing address for (%s),Dirección de facturación inválida para (%s)
Invalid current password,La contraseña actual es inválida
Invalid customer data,Los datos del cliente no son válidos
"Invalid email address ""%s"".","Dirección de correo electrónico no válida: ""%s""."
Invalid email address.,La dirección de correo electrónico no es válida.
Invalid login or password.,Contraseña o usuario inválido.
Invalid password reset token.,Token de restablecimiento de contraseña inválido 
Invalid shipping address for (%s),Dirección de envío no válida para (%s)
"Invalid store specified, skipping the record.","La tienda especificada es inválida, registro omitido."
"Invalid website, skipping the record, line: %s","La página web no es válida, registro omitido en la línea: %s"
Last Activity,Última actividad
Last Date Subscribed,Última fecha de Suscripción
Last Date Unsubscribed,Última fecha de Desuscripción
Last Name,Apellido(s)
Last URL,Última URL
Leave empty for default (15 minutes).,Dejar en blanco para el valor predeterminado (15 minutos).
Leave empty for default (2). Valid range: 1-4,Dejar en blanco para el valor predeterminado (2). Rango válido: 1-4
Lifetime Sales,Acumulado de todas las ventas
Log In,Iniciar Sesión
Log Out,Cerrar Sesión
Login,Ingresar
Login Information,Informacion de acceso
Login Options,Optiones de acceso
Login and password are required.,Se requiere tu usuario y contraseña.
Login or Create an Account,Entra a tu Cuenta
MM,MM
Manage Addresses,Administrar Direcciones
Manage Customers,Administrar Clientes
Maximum length must be less then %s symbols,La longitud máxima debe ser menor a %s símbolos
"Missing email, skipping the record, line: %s",Se omite registro de la línea %s por falta de correo electrónico.
"Missing email, skipping the record.",Se omite registro por falta de correo electrónico.
"Missing first name, skipping the record, line: %s",Se omite registro de la línea %s por falta de nombre(s).
"Missing firstname, skipping the record.",Se omite registro por falta de nombre(s).
"Missing last name, skipping the record, line: %s",Se omite registro de la línea %s por falta de apellído(s).
"Missing lastname, skipping the record.",Se omite registro por falta de apellído(s).
"Missing website, skipping the record, line: %s",Se omite registro porque falta la página web.
Month,Mes
My Account,Mi Cuenta
My Account Wrapper,Contenedor de Mi Cuenta
My Dashboard,Mi Panel de Administración
My Orders,Mis Pedidos
Name,Nombre
Name and Address Options,Opciones de nombre y dirección 
Never,Nunca
New Address,Nueva dirección
New Address Entry,Nueva ingreso de dirección
New Customer,Nuevo cliente
New Customer Address,Nueva dirección de cliente
New Customer Group,Nuevo Grupo de Clientes
New Customer Groups,Nuevos Grupos de clientes
New Customers,Clientes Nuevos
New Group,Grupo nuevo
New Password,Nueva contraseña
New account,Nueva cuenta
New account confirmation key,Nueva clave de confirmación de cuenta
New account confirmed,Nueva cuenta confirmada
New password field cannot be empty.,El nuevo campo de contraseña no puede estar vacío.
Newsletter,Boletín
Newsletter Finish,Finalizar Boletín 
